"","CASE_ID","GPS_NAC_ADOPTER","SURVEY_SOURCE","STATE","HOME","HAVESOLAR","WINTER_NOPV_BINNED","SUMMER_NOPV_BINNED","PN1","PN2","PN3","E2","BB1","BB2","BB3","BTE8","BE13","BE10","Co3","VB1","VB2","VB3","VA1","VA2","VA3","VT1","VT2","VT3","VE1","VE2","VE4","VO1","VO2","VO3","CIJM1","CIJM2","CIJM3","CNS1","CNS2","CNS4","SQFT_BINNED","STANCE","PEOPLE_TOT_3PLUS","HAVE_KIDS","GENDER","AGE_BINNED","EDUC_BINNED","FINANCIAL","INCOME_BINNED","RETIRED"
"101",101,1,1,2,1,0,4,3,4,5,5,5,98,3,4,98,98,98,3,5,5,4,5,5,5,5,5,4,2,4,3,4,3,4,5,5,4,4,4,4,1,3,0,0,1,3,1,3,1,0
"102",102,1,1,3,1,0,4,7,3,4,4,5,4,4,4,3,2,3,3,5,5,5,5,5,5,5,5,4,3,2,3,2,4,4,2,4,3,2,3,2,1,2,0,0,0,4,2,3,1,1
"103",103,1,1,1,1,0,6,9,5,1,4,1,4,1,4,4,4,4,4,3,3,2,3,3,3,5,4,3,3,3,1,3,4,2,4,4,4,2,2,2,3,4,1,0,1,2,1,4,3,0
"104",104,1,1,4,1,0,5,5,4,4,3,2,4,4,4,5,3,4,4,3,3,3,3,3,4,3,5,3,1,4,2,2,2,2,4,3,4,3,3,3,3,90,1,1,0,1,1,2,3,0
"105",105,1,1,1,1,0,5,6,2,1,1,2,3,3,4,3,3,5,5,2,2,2,4,4,4,4,4,3,1,1,3,1,3,2,3,3,3,2,2,1,2,97,1,1,1,2,1,2,95,0
"106",106,1,1,1,1,0,6,6,3,4,3,5,98,98,3,4,98,98,98,4,4,2,5,4,4,3,4,4,1,2,1,2,2,2,2,2,2,3,2,3,1,2,1,0,1,3,1,2,2,0
"107",107,1,1,1,1,0,7,6,4,4,5,5,5,5,4,5,5,5,4,5,4,4,4,4,4,5,5,4,3,5,4,4,4,4,4,4,4,5,4,5,3,3,0,0,0,1,3,1,3,0
"108",108,1,1,1,1,0,8,8,2,2,3,4,4,3,3,4,3,4,3,3,3,3,4,3,3,5,5,2,2,3,2,3,3,3,3,3,3,2,2,3,3,3,0,0,1,4,3,1,4,1
"109",109,1,1,1,1,0,5,5,4,4,4,4,4,4,2,2,4,1,1,4,4,3,4,4,5,4,4,3,2,2,2,2,2,5,2,4,3,4,2,4,3,2,0,0,1,4,3,1,1,1
"110",110,1,1,4,1,0,4,5,4,3,5,4,3,2,4,4,3,3,3,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,2,4,2,2,4,2,5,0,0,0,3,2,3,2,0
"111",111,1,1,4,1,0,2,2,5,3,5,5,5,5,5,5,98,98,98,4,5,5,5,5,5,4,5,5,0,4,5,5,5,4,2,2,2,1,1,2,1,97,0,0,1,2,3,2,4,0
"112",112,1,1,3,1,0,4,4,4,3,4,3,3,98,98,98,98,98,3,4,5,4,4,5,5,5,5,5,1,1,2,5,3,3,4,4,4,3,3,4,2,3,0,0,0,4,2,1,95,1
"113",113,1,1,2,1,0,6,5,4,4,4,4,4,98,98,4,98,4,98,3,3,3,5,3,4,4,5,3,2,3,2,2,2,2,4,4,4,2,3,3,3,97,0,0,1,3,1,3,2,0
"114",114,1,1,1,1,0,NA,NA,3,3,4,4,3,3,4,4,4,98,3,3,3,3,5,3,3,5,5,3,3,3,3,3,3,3,3,3,3,3,3,3,4,97,1,0,1,2,2,4,3,0
"115",115,1,1,2,1,0,5,5,3,3,3,3,98,98,3,4,98,3,3,2,2,1,3,3,4,5,5,3,1,1,2,2,1,3,4,3,3,2,3,3,4,3,1,1,1,2,2,2,4,0
"116",116,1,1,3,1,0,3,5,2,2,5,4,4,3,2,4,2,2,2,4,4,3,4,4,3,4,4,3,3,4,3,3,3,4,4,4,4,2,3,4,3,3,0,0,0,4,4,1,4,1
"117",117,1,1,3,1,0,6,8,5,4,4,5,5,4,5,4,3,4,4,4,5,5,4,4,3,5,5,5,3,4,4,5,5,5,5,5,4,4,4,5,4,3,0,0,1,2,2,3,1,0
